Packet Length,Trading Symbol,Sequence Number,Timestamp,Last Traded Price,Last Traded Quantity,Volume,Bid Price,Bid Quantity,Ask Price,Ask Quantity,Open Interest,Previous Close Price,Previous Open Interest
124,MAINIDX27JUL2319350PE,1233,1688299079575,72615,0,0,71860,200,74275,100,0,6200,5600
124,MAINIDX06JUL2317550CE,47,1688299078507,99700,0,0,101505,100,101980,200,0,10000,6050
124,MAINIDX27JUL2317800CE,89,1688299078562,79475,0,0,83630,150,84905,100,0,10500,10500
124,MAINIDX06JUL2319150CE,1318,1688299079617,235,141600,141600,235,1450,240,17450,453350,723950,63150
124,MAINIDX20JUL2316950PE,956,1688299079318,470,0,0,310,450,0,0,0,4000,0
124,MAINIDX28DEC2318000CE,972,1688299079325,135000,0,0,137440,100,141070,100,0,4100,2700
124,MAINIDX06JUL2319500CE,952,1688299079317,160,377850,377850,160,189150,165,80600,6472100,3992750,258600
124,MAINIDX20JUL2318550PE,1455,1688299079702,14680,400,400,14915,50,15169,100,19300,9250,5250
124,FINANCIALS11JUL2319450CE,786,1688299079204,13000,0,0,13240,40,15869,120,0,3040,1840
124,ALLBANKS13JUL2344400PE,1280,1688299079598,59145,625,625,59225,25,60840,50,4425,6750,3400
124,ALLBANKS31AUG2339500PE,50,1688299078511,6834,0,0,5895,60,8230,75,0,1005,120
124,MAINIDX27JUL2318600CE,846,1688299079248,20825,60350,60350,20765,600,20860,500,1614050,33850,82300
124,MAINIDX27JUL2318550PE,293,1688299078820,16805,4250,4250,16685,50,16820,100,144500,14500,10400
124,MAINIDX27JUL2318250CE,1387,1688299079656,45000,50,50,44735,150,45485,100,77450,8400,8150
124,MAINIDX20JUL2318600CE,307,1688299078829,17250,1000,1000,17190,150,17645,100,35500,14850,16300
124,MAINIDX27JUL2316950PE,123,1688299078602,795,100,100,630,50,855,100,22450,11150,4050
124,MAINIDX27JUL2319700PE,1103,1688299079498,113355,0,0,84800,700,127120,1000,0,4950,3150
124,MAINIDX28SEP2319800PE,432,1688299078947,81805,0,0,78130,1800,0,0,0,1800,0
124,MAINIDX31DEC2611000PE,667,1688299079117,43100,0,0,3250,750,0,0,0,2550,0
124,MAINIDX27JUL2317450CE,1118,1688299079508,120475,0,0,96770,100,125740,100,0,5000,5050
